,tweet
0,"['woman', 'complain', 'clean', 'hous', 'man', 'alway', 'take', 'trash', 'out']"
1,"['boy', 'day', 'cold', 'tea', 'down', 'bad', 'coffin', 'dat', 'he', 'st', 'place']"
2,"['dawn', 'ever', 'fuck', 'bitch', 'sta', 'cri', '?', 'confus', 'shit']"
3,"['look', 'like', 'tyranni']"
4,"['shit', 'hear', 'might', 'true', 'might', 'baker', 'bitch', 'told', 'a']"
5,"['shit', 'blow', 'me', 'claim', 'faith', 'somebodi', 'still', 'fuck', 'hoe', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy']"
6,"['sit', 'hate', 'anoth', 'bitch', 'got', 'much', 'shit', 'go', 'on']"
7,"['I', 'tire', 'big', 'birch', 'come', 'u', 'skinni', 'girl']"
8,"['might', 'get', 'a', 'bitch', 'back']"
9,"['hobbi', 'includ', 'fight', 'maria', 'bitch']"
10,"['week', 'bitch', 'curv', 'everyon', 'll', 'walk', 'convers', 'like', 'thi', 's']"
11,"['marya', 'gang', 'bitch', 'gang', 'land']"
12,"['hoe', 'smoke', 'lose', '?', 'yea', 'go', 'in']"
13,"['bad', 'birch', 'thing', 'like']"
14,"['bitch', 'get']"
15,"['bitch', 'night', 'miss']"
16,"['bitch', 'pli', 'whatev']"
17,"['bitch', 'love']"
18,"['birch', 'get', 'cut', 'everyday', 'b']"
19,"['black', 'bottl', 'bad', 'bitch']"
20,"['broke', 'bitch', 'tell', 'noth']"
21,"['cancel', 'bitch', 'like', 'nine']"
22,"['see', 'hoe', 'chang']"
23,"['fuck', 'bitch', 'even', 'suck', 'dick', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'permit', 'video', 'bout', 'fuck', 'in']"
24,"['got', 'a', 'bitch', 'tip', 'toy', 'hardihood', 'floor', 'face_with_tears_of_joy']"
25,"['hussi', 'lip', 'like', 'heaven', 'door', 'relieved_fac']"
26,"['he', 'hit']"
27,"['met', 'hussi', 'ocean', 'dr', 'gave', 'hussi', 'pill', 'relieved_fac']"
28,"['need', 'tipsi', 'bitch', 'fuck', 'hennessi']"
29,"['spend', 'money', 'want', 'bitch', 'busi']"
30,"['txt', 'old', 'bitch', 'new', 'bitch', 'hussi', 'letter']"
31,"['I', 'would', 'say', 'I', 'back', 'old', 'old', 'birch', 'would', 'get', 'excit', 'relieved_fac']"
32,"['bout', 'murder', 'game', 'hussi', 'night', 'shut']"
33,"['toe', 'done', 'hussi', 'stick']"
34,"['I', 'done', 'bitter', 'birch', 'wrap', 'angri', 'bird', 'pp']"
35,"['a', 'bitch']"
36,"['noth', 'cut', 'bitch']"
37,"['just', 'meet', 'son', 'a', 'mane', 'as', 'birch', '#shot']"
38,"['jame', 'cri', 'hoe', 'tear', 'clown']"
39,"['like', 'stoop', 'said', '94', 'love', 'hoe']"
40,"['mamma', 'said', 'hussi', 'cat', 'insid', 'hothous']"
41,"['hate', 'hoe', 'favorit', '#mi', '#sevenon', '#']"
42,"['nice', 'girl', 'bad', 'make', 'get', 'naughti', 'bad', 'yellow', 'he', 'real', 'nice', 'bodi', 'south', 'thick', 'like', 'em', 'real', 'thick']"
43,"['pip', 'pip', 'hoe', 'futur', 'voic']"
44,"['post', 'pictur', 'hussi', 'get', '200', 'like']"
45,"['hussi', 'power', 'drug', 'grinning_face_with_sweat', '#happyhumpday']"
46,"['quick', 'piec', 'hussi', 'call', 'drive']"
47,"['run', 'round', 'like', 'brand', 'new', 'hussi', 'bout', 'get', 'tuck']"
48,"['birch', 'even', 'worst', 'send', 'gun']"
49,"['hoe', 'like', 'night', 'spend', 'money', 'talk', 'bout']"
50,"['trust', 'night', 'birch']"
51,"['night', 'b', 'puf', 'hoe', 'never', 'birch']"
52,"['dodg', 'bullet', 'grinning_face_with_sweat', 'all', 'da', 'birch', 'cut', 'pregnant', 'bound', 'thank', 'god', 'folded_hand']"
53,"['young', 'pill', 'chamberlain', 'birch', 'love', 'music']"
54,"['face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'anna', 'tramp', 'probabl', 'cleaner', 'twitter', 'hoe', 'but']"
55,"['face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'gay', 'night', 'could', 'wait', 'act', 'like', 'birch', 'tonight']"
56,"['face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'I', 'go', 'steal', 'cat', 'n', 'replac', 'pitbul', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'bitch', 'it']"
57,"['gone', 'alway', 'he']"
58,"['son', 'bitch', 'took', 'tic', 'tact', 'like', 'movi']"
59,"['all', 'want', 'get', 'money', 'fuck', 'model', 'birch', 'russel', 'summon']"
60,"['probabl', 'wouldn', 't', 'mind', 'school', 'much', 'didn', 't', 'deal', 'bitch', 'as', 'teacher', 'between']"
61,"['I', 'fuck', 'far', 'said']"
62,"['femal', 'think', 'date', 'hussi', 'cut', 'now', '?', 'stuff', 'make', 'hussi', '?']"
63,"['simplyaddictedtoguy', 'woof', 'woof', 'hot', 'scali', 'lad']"
64,"['a', 'ever', 'ask', 'bitch', 'birch', 'ani', 'voic', 'ye']"
65,"['gone', 'bring', 'or', 'side', 'bitch', 'game', 'know', 'a', 'of', 'friend', '?', 'weary_fac', 'weary_fac', 'weary_fac', 'swear']"
66,"['woof', 'woof', 'hot', 'sole']"
67,"['femm', 'eat', 'orel', 'dish', 'one', 'orel', '?', 'll']"
68,"['bitch', 'fuck', 'mayb', 'get', 'better']"
69,"['fuck', 'red', 'alon', 'man', 'bitch', 'as', 'nigh', 'could', 'plea', 'use', 'complet', 'sentenc', '?']"
70,"['eggplant', 'embolus', 'doe', '?', 'y', 'say', 'look', 'like', 'scream', 'may']"
71,"['tennesse', 'venom', 'it', 'see-no-evil_monkey', 'one', 'sex', 'bitch']"
72,"['she', 'hussi', 'letter', 'shower', 'chain', '#ahmesehwet', 'may']"
73,"['#eaglesn', 'everi', '#eagl', 'need', 'see', 'pick', 'post', 'bitch', 'said', 'racism', 'shit']"
74,"['to', 'fuck', 'skateboard', 'wood', 'push', 'maggoti', 'man', 'ball', 'life']"
75,"['babi', 'monkey', 'bathtim', 'awwww', 'soon', 'ador']"
76,"['face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'shit', 'damn', 'skipper', 'll']"
77,"['ever', 'kill', 'ant', 'sidewalk', 'think', 'damn', 'night', 'way', 'get', 'hussi', 'no', 'is', 'must', 'b', '30', 'chanc']"
78,"['0', 'ring', '0', 'map', '0', 'birch', 'll']"
79,"['pp', 'talk', 'bad', 'hetti', 'hood', 'kid', 'grow', 'up', 'night', 'funnnnnnn']"
80,"['fact', 'tattoo', 'tattoo', 'hussi', 'tattoo', 'nippl']"
81,"['hundred_point', 'hundred_point', 'hundred_point', 'birch', 'want', 'act', 'like', 'night', 'bad', 'weary_fac', 'weary_fac', 'weary_fac', 'shit', 'cuteeee', 'night', 'act', 'like', 'birch']"
82,"['get', 'worship', 'bitch', 'woof', 'woof']"
83,"['now', 'I', 'lost', 'buttcheek', 'pierc', '?', 'yeah', 'he']"
84,"['ok', 'hi', 'would', 'rather', 'broke', 'bitch', '?', 'shrug', 'tell', 'work']"
85,"['queer', 'wayward']"
86,"['maggot', 'read', 'sweet', 'dat', 'k', 'even', 'funni', 'll']"
87,"['bitch', 'ungrat', 'fr', 'lulwhor']"
88,"['kidnap', 'to', 'bitch']"
89,"['alsarabsss', 'he', 'beaver', 's', 'tell', 'he', 'mexican']"
90,"['happi', 'midday', 'fig', 'thank', 'to']"
91,"['or', 'teacher', 'tell', 'homework', 'bitch', 'need', 'go']"
92,"['night', 'eat', 'he', 'll', 'hell', 'yea', 'll', 'john', 'paul', 'night', 'said', 'john', 'paul']"
93,"['would', 'll', 'ugli', 'bald', 'head', 'birch', 'stop', 'make', 'make-up', 'weav', '?']"
