,tweet
0,"['man', 'clean', 'trash', 'complain', 'woman', 'hous', 'alway', 'take', 'out']"
1,"['bad', 'hoe', 'place', 'dat', 'boy', 'cold', 'day', 'tcga', 'down', 'coffin', 'st']"
2,"['bitch', 'confus', 'shit', 'ever', 'fuck', 'dawg', 'sta', 'cri']"
3,"['like', 'tranni', 'look']"
4,"['bitch', 'shit', 'true', 'hear', 'faker', 'told', 'ya', 'might', 'a']"
5,"['hoe', 'shit', 'faith', 'fuck', 'somebodi', 'blow', 'me', 'still', 'claim', 'a', 'p.']"
6,"['much', 'hate', 'got', 'anoth', 'bitch', 'shit', 'on', 'go', 'sit', 'p.']"
7,"['girl', 'bitch', 'i', 'big', 'skinni', 'tire', 'u', 'come', 'a', 'a']"
8,"['bitch', 'get', 'back', 'ya', 'might']"
9,"['fight', 'bitch', 'mariam', 'hobbi', 'includ']"
10,"['bitch', 'lol', 'curv', 'like', 'everyon', 'walk', 'convers', 'thi', 'week', 'sh']"
11,"['gang', 'bitch', 'land', 'murad']"
12,"['hoe', 'yea', 'ig', 'loser', 'smoke', 'go']"
13,"['bad', 'like', 'thing', 'bitch']"
14,"['get', 'bitch']"
15,"['miss', 'bitch', 'nigra']"
16,"['bitch', 'whatev', 'plc']"
17,"['love', 'bitch']"
18,"['b', 'everyday', 'bitch', 'get', 'cut']"
19,"['black', 'bitch', 'bad', 'bottl']"
20,"['bitch', 'tell', 'noth', 'broke']"
21,"['like', 'cancel', 'bitch', 'nino']"
22,"['hoe', 'see', 'chang']"
23,"['video', 'dick', 'bitch', 'bout', 'suck', 'fuck', 'even', 'ig', 'kermit', 'a']"
24,"['hardwood', 'got', 'bitch', 'floor', 'toe', 'tip', 'ya', 'a']"
25,"['pussi', 'like', 'lip', 'heaven', 'door', 'a']"
26,"['hoe', 'hit']"
27,"['pussi', 'gave', 'pill', 'ocean', 'met', 'dr', 'a']"
28,"['bitch', 'hennessi', 'fuck', 'need', 'trippi']"
29,"['busi', 'bitch', 'spend', 'want', 'money']"
30,"['pussi', 'bitch', 'new', 'wetter', 'old', 'text']"
31,"['excit', 'bitch', 'i', 'back', 'get', 'say', 'would', 'old', 'a']"
32,"['pussi', 'bout', 'murder', 'game', 'shut', 'nigra']"
33,"['done', 'pussi', 'toe', 'stink']"
34,"['done', 'bitter', 'angri', 'app', 'bitch', 'i', 'wrap', 'bird']"
35,"['bitch', 'ya']"
36,"['cut', 'bitch', 'noth']"
37,"['meet', 'as', 'bitch', 'mane', 'ju', 'son', 'ya', 'shot']"
38,"['hoe', 'clown', 'cri', 'lame', 'tear']"
39,"['hoe', 'like', 'love', 'said', 'snoop']"
40,"['pussi', 'momma', 'cat', 'doghous', 'said', 'insid']"
41,"['hate', 'favorit', 'hoe']"
42,"['bad', 'naughti', 'hoe', 'nice', 'south', 'thick', 'girl', 'yello', 'like', 'em', 'get', 'real', 'make', 'bodi', 'chick']"
43,"['hoe', 'futur', 'voic', 'pimp']"
44,"['pussi', 'post', 'like', 'get', 'pictur']"
45,"['pussi', 'power', 'drug', 'a']"
46,"['call', 'pussi', 'piec', 'quick', 'drive']"
47,"['fuck', 'pussi', 'round', 'brand', 'bout', 'like', 'new', 'run', 'get']"
48,"['worst', 'bitch', 'even', 'send', 'guy']"
49,"['hoe', 'spend', 'bout', 'like', 'talk', 'money']"
50,"['trust', 'bitch']"
51,"['hoe', 'b', 'bitch', 'cuf', 'never']"
52,"['dodg', 'bound', 'bitch', 'thank', 'cut', 'god', 'bullet', 'pregnant', 'da', 'all', 'a', 'a', 'a', 'a']"
53,"['young', 'music', 'bitch', 'pill', 'chamberlain', 'love']"
54,"['hoe', 'trump', 'twitter', 'but', 'probabl', 'cleaner', 'a', 'deanna']"
55,"['act', 'gay', 'like', 'could', 'tonight', 'wait', 'bitch', 'a']"
56,"['bitch', 'replac', 'pitbul', 'it', 'n', 'i', 'cat', 'go', 'steal', 'a']"
57,"['hoe', 'alway', 'gone']"
58,"['bitch', 'tic', 'like', 'movi', 'son', 'took', 'tack']"
59,"['russel', 'fuck', 'bitch', 'get', 'model', 'simmon', 'want', 'all', 'money', 'p.']"
60,"['much', 'bitch', 'teacher', 'as', 't', 'mind', 'school', 'deal', 'probabl', 'didn', 'a', 'would']"
61,"['said', 'fuck', 'fag', 'i']"
62,"['pussi', 'now', 'femal', 'cute', 'stuff', 'date', 'think', 'make']"
63,"['hot', 'woof', 'lad', 'salli']"
64,"['bitch', 'ye', 'ever', 'bitch', 'ask', 'ya', 'voic', 'kane']"
65,"['ur', 'bitch', 'side', 'swear', 'know', 'gone', 'friend', 'bring', 'game', 'ya', 'a', 'of']"
66,"['hot', 'woof', 'sole']"
67,"['lol', 'dish', 'one', 'eat', 'ore', 'emmi']"
68,"['mayb', 'bitch', 'fuck', 'get', 'better']"
69,"['man', 'sentenc', 'bitch', 'as', 'could', 'fuck', 'red', 'use', 'complet', 'malon', 'plea']"
70,"['doe', 'like', 'y', 'say', 'scream', 'look', 'mao', 'emosi']"
71,"['bitch', 'gt', 'sexi', 'hennessey', 'venom', 'one', 'a']"
72,"['seh', 'pussi', 'wetter', 'shower', 'chain', 'mao']"
73,"['bitch', 'everi', 'shit', 'said', 'pic', 'need', 'racist', 'see', 'post', 'eagl']"
74,"['faggot', 'man', 'life', 'push', 'skateboard', 'wood', 'fuck', 'ball', 'yo']"
75,"['bathtim', 'ador', 'babi', 'monkey']"
76,"['lol', 'damn', 'shit', 'skimpi', 'a']"
77,"['sidewalk', 'way', 'pussi', 'must', 'b', 'chanc', 'ever', 'kill', 'get', 'no', 'b', 'damn', 'ant', 'think', 'nigra']"
78,"['ring', 'lol', 'bitch', 'mp']"
79,"['bad', 'grow', 'up', 'ghetto', 'ppl', 'talk', 'hood', 'kid', 'nigra']"
80,"['nippl', 'pussi', 'fact', 'tattoo', 'tattoo', 'tattoo']"
81,"['bad', 'act', 'shit', 'like', 'want', 'bitch', 'a', 'p.', 'a']"
82,"['get', 'woof', 'bitch', 'worship']"
83,"['hoe', 'lost', 'i', 'yeah', 'wow', 'pierc']"
84,"['bitch', 'si', 'shrug', 'ok', 'work', 'broke', 'rather', 'would', 'tell']"
85,['queer']
86,"['funni', 'lol', 'k', 'faggot', 'even', 'dat', 'read', 'sweet']"
87,"['fr', 'bitch', 'ungrat']"
88,"['kidnap', 'bitch', 'yo']"
89,"['tell', 'mexican', 'he', 'sh', 'bearer']"
90,"['thank', 'happi', 'yo', 'pig']"
91,"['ur', 'bitch', 'go', 'need', 'tell', 'teacher', 'homework']"
92,"['hoe', 'yea', 'john', 'lol', 'paul', 'eat', 'said', 'hell', 'nigra', 'p.']"
93,"['head', 'bald', 'bitch', 'stop', 'lil', 'ugli', 'make', 'weav', 'make-up', 'would']"
94,"['riot', 'win', 'shit', 'sta', 'game', 'damn', 'better', 'loot', 'go', 'nig', 'lead']"
95,"['hoe', 'dick', 'school', 'it', 'back', 'attend', 'suck', 'go']"
96,"['way', 'bitch', 'fuck', 'yo', 'year', 'old']"
97,"['food', 'come', 'car', 'bring', 'never', 'retard']"
98,"['hoe', 'friend', 'like', 'hella', 'i', 'show', 'brought', 'tinder', 'chill', 'anymor', 'peopl']"
99,"['pussi', 'cowboy', 'bout', 'shut-up']"
100,"['bitch', 'like', 'shit', 'depress', 'want', 'foh', 'nigra', 'p.']"
101,"['girl', 'bitch', 'shit', 'spit', 'know', 'go', 'g', 'lb', 'plc']"
102,"['bitch', 'trick', 'jail', 'page', 'let', 'coupl', 'get', 'twitter', 'make', 'cuzco', 'mao', 'sweet']"
103,"['harlem', 'excus', 'shake', 'full', 'second', 'retard', 'go']"
104,"['act', 'hoe', 'like', 'need', 'emot', 'amen', 'bc', 'foh', 'damag', 'a', 'mile']"
105,"['hoe', 'loyal', 'idc', 'femal', 'better', 'one', 'a']"
106,"['pussi', 'meow', 'lick', 'a', 'a']"
107,"['man', 'stand', 'check', 'even', 'faggot', 'fan', 'ny']"
108,"['vixen', 'got', 'bitch', 'happen', 'ran', 'side', 'like', 'ent', 'bitch', 'threw', 'foothil']"
109,"['nude', 'bitch', 'okay', 'i', 'wow', 'pat', 'a', 'a', 'a']"
